Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID
Capital One,"Pressley, Laura",$319.00,05/31/2016,Entity,P.O. Box 60599,"City Of Industry, CA, 91716",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,CC payment,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0038
"Dr. Jeff Jacobson, Ph.D.","Pressley, Laura",$2942.49,06/06/2016,Individual,333 Larmatine,"Jamaica Plain, MA, 2130",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Legal Services,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0039
Citi Card,"Pressley, Laura",$5347.00,06/06/2016,Entity,P.O. Box 183037,"Columbus, OH, 43218",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,CC payment,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0040
Discover,"Pressley, Laura",$8000.00,06/06/2016,Entity,P.O. Box 6103,"Carol Steam, IL, 60197",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,CC payment,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0041
IEEE US Bank,"Pressley, Laura",$1500.00,06/09/2016,Entity,P.O. Box 79048,"St. Louis, MO, 63179",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,CC payment,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0043
PayPal,"Pressley, Laura",$29.22,06/30/2016,Entity,PayPal.com,"N/A, N/A, N/A",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Transaction Fees,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0050
DoodleKit,"Pressley, Laura",$432.00,06/30/2016,Entity,DoodleKit.com,"N/A, N/A, N/A",2016,Political Expenditure from Political Contributions,07/26/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising/Website,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258178),R20160726163007-F0051
PayPal Inc,"Zimmerman, Donald S. ""Don""",$304.57,06/30/2016,Entity,2211 North First Street,"San Jose, CA, 95131",2016,Political Expenditure from Political Contributions,07/14/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Credit/Debit Processing Fee,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258079),R20160808101110-F0002
Austin Java,"Zimmerman, Donald S. ""Don""",$10.28,05/24/2016,Entity,301 West 2nd Street,"Austin, TX, 78701",2016,Political Expenditure from Political Contributions,07/14/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food Beverage Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258079),R20160808101110-F0003
Home Depot Inc,"Zimmerman, Donald S. ""Don""",$62.88,06/06/2016,Entity,11301 Lakeline Blvd,"Austin, TX, 78717",2016,Political Expenditure from Political Contributions,07/14/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead & Rental Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258079),R20160808101110-F0006
HEB Inc,"Zimmerman, Donald S. ""Don""",$124.80,06/05/2016,Entity,11521 N FM620,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,07/14/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258079),R20160808101110-F0007
McClain Law Firm,"Zimmerman, Donald S. ""Don""",$50.00,06/30/2016,Entity,8118 Datapoint Dr.,"San Antonio, TX, 78229",2016,Political Expenditure from Political Contributions,07/14/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Refund Over Allowed Donation,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258079),R20160808101110-F0024
Intuit,Austin Forward,$27.17,09/12/2016,Entity,"2632 Marine Way, Ms 2675","Mountain View, CA, 94043-1126",2016,,09/14/2016,ATX_1: Independent Expenditures not by a Candidate,Accounting/Banking | Bookkeeping & Payroll,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=262904),R20160916091836-F0008
"Anstead, Alexander",Austin Forward,$990.00,09/15/2016,Individual,"4600 Buadalupe, B141","Austin, TX, 78751-3352",2016,,09/21/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263528),R20160922165921-F0016
"Parker, Khai",Austin Forward,$630.00,09/15/2016,Individual,"9601 Middle Fiskville Rd., #V8","Austin, TX, 78753",2016,,09/21/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263528),R20160922165921-F0017
"Munoz, Manuel",Austin Forward,$180.00,09/15/2016,Individual,"1007 E Rundberg Ln, Apt 238","Austin, TX, 78753-4857",2016,,09/21/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263528),R20160922165921-F0018
Cothron Safe & Lock Inc.,Austin Forward,$97.48,09/20/2016,Entity,"8120 Exchange Dr., Ste 100","Austin, TX, 78754-5234",2016,,09/22/2016,ATX_1: Independent Expenditures not by a Candidate,Office Overhead/Rental Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263506),R20160922170012-F0007
Worley Printing,Texas Vote Environment PAC,$559.65,09/23/2016,Entity,3217 North IH 35,"Austin, TX, 78722",2016,,09/27/2016,ATX_1: Independent Expenditures not by a Candidate,Printing Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263743),R20160927165426-F0001
AT&T Mobility,Austin Forward,$20.22,09/22/2016,Entity,P.O. Box 6463,"Carol Siltream, IL, 60197-6463",2016,,09/26/2016,ATX_1: Independent Expenditures not by a Candidate,Office Overhead/Rental Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263711),R20160927170343-F0001
OfficeMax / Office Depot,Austin Forward,$147.10,09/25/2016,Entity,2101 South Lamar,"Austin, TX, 78704",2016,,09/26/2016,ATX_1: Independent Expenditures not by a Candidate,Office Overhead/Rental Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263711),R20160927170343-F0003
OfficeMax / Office Depot,Austin Forward,$184.90,09/24/2016,Entity,2101 S Lamar Blvd,"Austin, TX, 78704-4921",2016,,09/26/2016,ATX_1: Independent Expenditures not by a Candidate,Office Overhead/Rental Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263711),R20160927170343-F0004
Creative Civilization,Austin Forward,$5000.00,09/25/2016,Entity,1412 W 6th St,"Austin, TX, 78703-5139",2016,,09/26/2016,ATX_1: Independent Expenditures not by a Candidate,Advertising Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263711),R20160927170343-F0006
HEB,Austin Forward,$70.75,09/25/2016,Entity,2508 E Riverside Dr,"Austin, TX, 78741-3037",2016,,09/26/2016,ATX_1: Independent Expenditures not by a Candidate,Food/Beverage Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263711),R20160927170343-F0007
Craigs List,Austin Forward,$35.00,09/25/2016,Entity,"222 Sutter St, Fl 9","San Francisco, CA, 94108-4460",2016,,09/26/2016,ATX_1: Independent Expenditures not by a Candidate,Advertising Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263711),R20160927170343-F0008
American Printing & Mailing,Austin Forward,$714.45,09/25/2016,Entity,"1606 Headway Cir, Ste 100","Austin, TX, 78754-5152",2016,,09/26/2016,ATX_1: Independent Expenditures not by a Candidate,Printing Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263711),R20160927170343-F0009
"Butts, David",Austin Forward,$5000.00,09/26/2016,Individual,1914 Patton Lane,"Austin, TX, 78723",2016,,09/26/2016,ATX_1: Independent Expenditures not by a Candidate,Consulting Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263711),R20160927170343-F0010
OfficeMax / Office Depot,Austin Forward,$199.16,09/27/2016,Entity,2101 South Lamar,"Austin, TX, 78704",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Office Overhead/Rental Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0001
Shell,Austin Forward,$150.00,09/28/2016,Entity,3906 S Congress Ave,"Austin, TX, 78704-7220",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Travel In District,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0002
Check Mark Typesetting,Austin Forward,$4783.96,09/29/2016,Entity,3217 N Interstate 35,"Austin, TX, 78722-2203",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Printing Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0003
Y Strategy,Austin Forward,$2500.00,09/29/2016,Entity,"3110 Manor Rd., Ste H","Austin, TX, 78723-5703",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Advertising Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0004
"Wick, Jim",Austin Forward,$3851.15,09/30/2016,Individual,10551 Billbrook Pl,"Austin, TX, 78748-2430",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0005
"Chincanchan, David",Austin Forward,$1757.20,09/30/2016,Individual,4908 Parell Path,"Austin, TX, 78744-3808",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0006
"Balot, Michael",Austin Forward,$450.00,09/30/2016,Individual,2608B Carnarvon Ln,"Austin, TX, 78704-5602",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0009
"Bellcase, Mercedes",Austin Forward,$360.00,09/30/2016,Individual,P.O. Box 1805,"Bastrop, TX, 78602-8805",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0010
"McDonald, Patrick",Austin Forward,$1750.00,09/30/2016,Individual,115 Coleman St,"Austin, TX, 78704-6317",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0011
"Parker, Khai",Austin Forward,$630.00,09/30/2016,Individual,"9601 Middle Fiskville Rd, Apt V8","Austin, TX, 78753-3862",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0012
"Rosshirt, Ryan",Austin Forward,$1125.00,09/30/2016,Individual,"2713 Windswept Cv, Apt 101","Austin, TX, 78745-1408",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0013
"NGP Van, Inc.",Austin Forward,$2019.00,09/29/2016,Entity,"1101 15th Street, NW, Ste 500","Washington, DC, 20005",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Office Overhead/Rental Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0017
"LaPerla, Angelina",Austin Forward,$540.00,09/30/2016,Individual,"8804 Tallwood Dr., Apt #35","Austin, TX, 78759-7553",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0018
"Granberg, Michael",Austin Forward,$1125.00,09/30/2016,Individual,"8810 Tallwood Dr, Apt 35","Austin, TX, 78759-7572",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0019
"Canada, Quianna",Austin Forward,$180.00,09/30/2016,Individual,6604 Bourg Cove,"Austin, TX, 78744",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0020
"Newton, Arthur",Austin Forward,$90.00,09/30/2016,Individual,6307 N Hampton Dr,"Austin, TX, 78723",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0021
Rindy Miller Media,Austin Forward,$100000.00,10/01/2016,Entity,"2401 East 6th Street, Suite 1007","Austin, TX, 7702",2016,,10/03/2016,ATX_1: Independent Expenditures not by a Candidate,Advertising Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=263980),R20161004101619-F0024
Natalie Cauldin Campaign,Austin Apartment Association PAC,$350.00,09/08/2016,Entity,7304 Valburn Drive,"Austin, TX, 78731",2016,Political Expenditure from Political Contributions,10/05/2016,MPAC: Monthly Filing General-Purpose Committee Campaign Finance Report,Contribution,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264055),R20161005125901-F0001
Austinites for Zimmerman,Austin Apartment Association PAC,$350.00,09/07/2016,Entity,"13492 Research Blvd, #120-141","Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/05/2016,MPAC: Monthly Filing General-Purpose Committee Campaign Finance Report,Contribution,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264055),R20161005125901-F0002
FedEx Office,Austin Forward,$1.58,10/03/2016,Entity,327 Congress Ave,"Austin, TX, 78701-4058",2016,,10/05/2016,ATX_1: Independent Expenditures not by a Candidate,Event Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264071),R20161006090447-F0002
FedEx Office,Austin Forward,$10.55,10/03/2016,Entity,327 Congress Ave,"Austin, TX, 78701-4058",2016,,10/05/2016,ATX_1: Independent Expenditures not by a Candidate,Event Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264071),R20161006090447-F0003
Travis County Democratic Party,Austin Forward,$5000.00,10/04/2016,Entity,1311 E 6th St,"Austin, TX, 78702-3367",2016,,10/05/2016,ATX_1: Independent Expenditures not by a Candidate,Office Overhead/Rental Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264071),R20161006090447-F0006
Sage Payment Solutions,Austin Forward,$3840.88,10/03/2016,Entity,"12120 Sunset Hills Rd, Ste 500","Reston, VA, 20190-5858",2016,,10/05/2016,ATX_1: Independent Expenditures not by a Candidate,Accounting/Banking,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264071),R20161006090447-F0007
Texas Vote Environment PAC,Austin Forward,$5100.00,10/03/2016,Entity,"105 W Riverside Dr, Ste 120","Austin, TX, 78704-1246",2016,,10/05/2016,ATX_1: Independent Expenditures not by a Candidate,Office Overhead/Rental Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264071),R20161006090447-F0008
"Newton, Arthur",Austin Forward,$1125.00,10/05/2016,Individual,6307 N Hampton Dr,"Austin, TX, 78723-2041",2016,,10/07/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264362),R20161007141803-F0003
Mi Madres,Austin Forward,$94.33,10/06/2016,Entity,2201 Manor Rd,"Austin, TX, 78722-2133",2016,,10/07/2016,ATX_1: Independent Expenditures not by a Candidate,Event Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264362),R20161007141803-F0005
Starbucks Coffee,Austin Forward,$34.53,10/06/2016,Entity,301 W 3rd St,"Austin, TX, 78701-3815",2016,,10/07/2016,ATX_1: Independent Expenditures not by a Candidate,Event Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264362),R20161007141803-F0006
FedEx Office,Austin Forward,$189.64,10/05/2016,Entity,327 Congress Ave,"Austin, TX, 78701",2016,,10/07/2016,ATX_1: Independent Expenditures not by a Candidate,Office Overhead/Rental Expense,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264362),R20161007141803-F0007
"Aronowitz, Jacob",Workers Defense in Action PAC,$1240.54,10/05/2016,Individual,6403b Chimney Creek Circle,"Austin, TX, 78722",2016,,10/07/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264430),R20161011085724-F0001
"Alarcon, Sofia",Workers Defense in Action PAC,$724.97,10/05/2016,Individual,317 Strafford,"Laredo, TX, 78041",2016,,10/07/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264430),R20161011085724-F0002
"Joseph, Sunil",Workers Defense in Action PAC,$796.90,10/05/2016,Individual,205 W. 55th Street,"Austin, TX, 78751",2016,,10/07/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264430),R20161011085724-F0003
"Lassus, Nick",Workers Defense in Action PAC,$598.25,10/05/2016,Individual,6043B Chimney Creek Circle,"Austin, TX, 78723",2016,,10/07/2016,ATX_1: Independent Expenditures not by a Candidate,Salaries/Wages/Contract Labor,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264430),R20161011085724-F0006
Texas Vote Environment PAC,Austinites for Equity,$750.00,09/20/2016,Entity,,"Austin, TX",2016,Political Expenditure from Political Contributions,10/07/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Other | canvasing | 20160920,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264289),R20161011085908-F0002
Austin Tejano Democrats,Austinites for Equity,$1000.00,09/28/2016,Entity,2544 Stoutwood Circle,"Austin, TX, 78745",2016,Political Expenditure from Political Contributions,10/07/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Printing Expense | printing mailer,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264288),R20161011085945-F0001
Littlefield Consulting,Austinites for Equity,$750.00,10/06/2016,Entity,PO Box 90591,"Austin, TX, 78709",2016,Political Expenditure from Political Contributions,10/07/2016,SPAC: Specific-Purpose Committee Campaign Finance Report,Consulting Expense | district 6 survey | survey,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264360),R20161011090048-F0003
The UPS Store #2548,Arbor PAC,$130.00,09/12/2016,Entity,8127 Mesa Dr. B206,"Austin, TX, 78759",2016,Political Expenditure from Political Contributions,10/11/2016,GPAC: General-Purpose Committee Campaign Finance Report,Office Overhead/Rental Expense | PO Box Rental,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264526),R20161011151738-F0001
"Kelly, Timothy","Zimmerman, Donald S. ""Don""",$810.00,07/01/2016,Individual,1727 Warwick Way,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Salaries/Wages/Contract Labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0001
HEB,"Zimmerman, Donald S. ""Don""",$78.36,07/02/2016,Entity,11521 North FM 620,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Office Overhead/Rental Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0002
London Bay Embossed Stationary,"Zimmerman, Donald S. ""Don""",$115.09,07/04/2016,Entity,PO BOX 160503,"Austin, TX, 78716",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Office Overhead/Rental Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0003
