"UID","Name","Topic","Summary","Description","Tags","Feature_Names","Length","Size","Source","License","Usability"
"29","Energy Consumption Data","Finance","Energy consumption statistics","Data on energy consumption in residential and commercial buildings. Ideal for energy efficiency analysis and policy development.","Finance, Energy, Consumption","Location, Year, Energy Usage (kWh), Building Type","2000","520 KB","Energy Efficiency Agency","MIT License","8.4"
"30","Movie Box Office Data","Academic","Movie box office earnings data","Box office earnings data for movies, including earnings by week and box office rankings. Useful for movie industry analysis and box office predictions.","Academic, Movies, Box Office","Movie ID, Title, Release Year, Box Office Earnings (millions), Rank","2000","420 KB","Box Office Analytics Inc.","CC BY-SA 4.0","9.3"
"31","Online Shopping Cart Data","Realty","Online shopping cart data","Data from an online shopping platform, including products added to shopping carts and purchase history. Valuable for e-commerce analysis and recommendation systems.","Realty, E-commerce, Shopping Carts","User ID, Product ID, Date Added, Quantity, Total Price","7500","1.2 MB","Online Retailer Inc.","Apache License 2.0","8.8"
"32","Climate Change Projections","Academic","Climate change projections data","Projections of future climate change scenarios, including temperature changes and sea level rise. Ideal for climate policy analysis and adaptation planning.","Academic, Climate, Environment, Projections","Year, Scenario, Temperature Change (°C), Sea Level Rise (cm)","100","60 KB","Climate Research Institute","CC BY 3.0","9.1"
"33","Employee Satisfaction Surveys","Finance","Employee satisfaction survey data","Results of employee satisfaction surveys conducted within a financial organization. Valuable for HR analytics and employee engagement strategies.","Finance, Employees, Surveys, Satisfaction","Survey ID, Employee ID, Department, Satisfaction Score, Feedback Comments","1500","280 KB","Financial Corporation","CC0: Public Domain","8.6"
"34","Product Reviews and Ratings","Realty","Product reviews and ratings data","Reviews and ratings of products from an online retail platform, including user comments and product details. Useful for product recommendations and customer feedback analysis.","Realty, Retail, Products, Reviews, Ratings","Review ID, Product ID, Title, Review Text, Rating, Product Category","8000","1.3 MB","Online Retailer Inc.","GPL-3.0","8.2"
"35","Wildlife Conservation Data","Academic","Wildlife conservation dataset","Data on wildlife conservation efforts, including species counts and habitat preservation. Ideal for conservation research and wildlife protection.","Academic, Wildlife, Conservation","Species ID, Habitat Type, Population Count, Conservation Status","500","120 KB","Wildlife Conservation Society","CC BY 2.0","9.0"
"36","Online Advertising Campaign Data","Finance","Online advertising campaign data","Data from online advertising campaigns, including ad impressions, clicks, and conversion rates. Valuable for digital marketing analysis and optimization.","Finance, Advertising, Campaigns","Campaign ID, Date, Ad Impressions, Clicks, Conversions, Advertiser","5000","900 KB","Digital Advertising Agency","CC BY 4.0","8.7"
"37","Airline Flight Data","Realty","Airline flight schedule and performance data","Data on airline flight schedules, delays, and passenger statistics. Useful for airline industry analysis and flight planning.","Realty, Airlines, Flights","Flight ID, Airline, Departure Airport, Arrival Airport, Scheduled Departure, Actual Departure, Scheduled Arrival, Actual Arrival, Passengers","7500","1.2 MB","Airline Industry Association","MIT License","8.3"
"38","Social Media Influencers","Academic","Social media influencers dataset","Data on social media influencers, including follower counts, engagement rates, and content categories. Ideal for influencer marketing research and brand collaborations.","Academic, Social Media, Influencers","Influencer ID, Name, Follower Count, Engagement Rate, Content Categories","1000","180 KB","Influencer Marketing Agency","CC BY-SA 3.0","8.9"
"39","Hospital Billing Data","Medical","Hospital billing and insurance claims data","Billing and insurance claims data from a medical institution, including billing codes and claim amounts. Valuable for healthcare cost analysis and insurance fraud detection.","Medical, Healthcare, Billing, Claims","Bill ID, Patient ID, Insurance Company, Billing Code, Claim Amount","2500","480 KB","City Hospital","CC0: Public Domain","8.4"
"40","Educational Assessment Scores","Academic","Educational assessment scores dataset","Scores from educational assessments, including standardized tests and subject-specific exams. Useful for educational performance analysis and curriculum development.","Academic, Education, Assessments, Scores","Student ID, Assessment Type, Subject, Score, Percentile Rank","10000","1.6 MB","Education Department","CC BY 3.0","9.3"
"41","Retail Shopping Mall Data","Realty","Retail shopping mall data","Data about shopping malls, including tenant information, foot traffic, and rental rates. Useful for retail market analysis and mall management.","Realty, Retail, Shopping Malls","Mall ID, Mall Name, Tenants, Foot Traffic, Rental Rates","150","45 KB","Mall Management Company","CC BY 4.0","8.8"
"42","Social Media User Posts","Academic","Social media user posts dataset","User-generated posts from a social media platform, including text content and timestamps. Ideal for sentiment analysis and user behavior research.","Academic, Social Media, Posts, Text","Post ID, User ID, Date, Text Content","20000","2.5 MB","Social Media Research Lab","MIT License","8.5"
"43","Traffic Congestion Data","Realty","Traffic congestion and road traffic data","Data on traffic congestion levels, road conditions, and traffic incidents. Valuable for traffic management and urban planning.","Realty, Traffic, Congestion, Roads","Location, Date, Congestion Level, Road Conditions, Incidents","3000","720 KB","Transportation Authority","CC BY 2.0","8.1"
"44","Music Album Sales Data","Academic","Music album sales and chart data","Sales and chart data for music albums, including rankings and release dates. Useful for music industry analysis and chart predictions.","Academic, Music, Albums, Sales","Album ID, Title, Artist, Genre, Release Date, Sales (millions), Chart Rank","2500","780 KB","Music Industry Association","CC BY-SA 4.0","8.6"
"45","Employee Training Records","Finance","Employee training records dataset","Records of employee training sessions and certifications. Ideal for HR analytics and employee development.","Finance, Employees, Training, Certifications","Training ID, Employee ID, Course Name, Training Date, Certification Status","2000","320 KB","Financial Corporation","CC0: Public Domain","8.2"
"46","Product Warranty Claims","Realty","Product warranty claims data","Claims data for product warranties, including product details and claim outcomes. Valuable for warranty management and product quality analysis.","Realty, Products, Warranties, Claims","Claim ID, Product ID, Customer Name, Claim Date, Claim Outcome","3000","480 KB","Product Manufacturer Inc.","GPL-3.0","9.0"
"47","Healthcare Appointment Data","Medical","Healthcare appointment and scheduling data","Data on healthcare appointments, including appointment dates and patient demographics. Useful for healthcare facility management and patient scheduling optimization.","Medical, Healthcare, Appointments","Appointment ID, Patient ID, Clinic, Date, Time, Patient Age, Diagnosis","5000","980 KB","Healthcare Clinic Network","CC BY 3.0","8.7"
"48","Education Funding Data","Academic","Education funding and grants data","Data on education funding and grants awarded to educational institutions. Ideal for educational policy analysis and funding allocation.","Academic, Education, Funding, Grants","Institution, Funding Year, Grant Type, Amount Awarded, Purpose","800","160 KB","Education Department","MIT License","8.3"
"49","Online Auction Data","Finance","Online auction bidding data","Data from online auction platforms, including bid history and auction outcomes. Valuable for auction market analysis and bidding strategy research.","Finance, Auctions, Bidding, Auction Outcomes","Auction ID, Auction Title, Seller, Bidder, Bid Amount, Auction Outcome","7500","1.1 MB","Online Auction Website","CC BY-SA 3.0","9.2"
"50","Food Delivery Orders","Realty","Food delivery orders data","Data on food delivery orders, including restaurant details and order history. Useful for food delivery service analysis and customer behavior research.","Realty, Food Delivery, Orders","Order ID, Restaurant Name, Cuisine, Order Date, Customer Name, Order Items","10000","1.8 MB","Food Delivery Service Inc.","CC BY 2.0","8.8"
