UUID,Name,Topic,Summary,Description,Tags,Feature_Names,Length,Size,Source,License,Usability
16,"Credit Scores Dataset","Finance","A dataset containing credit scores for individuals, including credit history, scores, and loan details. Useful for credit risk assessment and lending analysis.","This dataset includes credit scores and credit history information for individuals, along with details about loans and credit accounts. It is a valuable resource for financial institutions and credit analysts interested in credit risk assessment and lending analysis. Researchers can use this data to develop credit scoring models.","Credit Scores, Finance, Credit History","Customer ID, Score, Credit History, Loan Amount, Loan Type","10000","4212 KB","Credit Bureau","CC BY-NC-SA 4.0","8.8"
17,"Stock Market News Sentiment","Finance","A dataset containing sentiment analysis scores for stock market news articles. Useful for analyzing the impact of news sentiment on stock prices.","This dataset provides sentiment analysis scores for stock market news articles. It includes sentiment scores indicating whether news articles are positive, negative, or neutral. Traders and analysts can use this data to study the relationship between news sentiment and stock price movements.","Stock Market, Finance, Sentiment Analysis","Article ID, Date, Title, Sentiment Score, Source","5000","1987 KB","Financial News Network","CC BY-SA 4.0","9.0"
18,"Mortgage Loan Data","Finance","A dataset containing mortgage loan information, including applicant details, loan terms, and approval status. Valuable for mortgage lending analysis.","This dataset contains information about mortgage loan applications, including applicant demographics, loan terms, and approval outcomes. It is a valuable resource for mortgage lenders and analysts interested in assessing loan approval criteria and demographics of approved applicants.","Mortgages, Finance, Loan Approval","Loan ID, Applicant Age, Income, Loan Amount, Approval Status","6000","2456 KB","Mortgage Bank","CC BY-NC-SA 4.0","8.6"
19,"Investment Portfolio Holdings","Finance","A dataset containing information about investment portfolios, including asset holdings, portfolio values, and risk metrics. Ideal for portfolio managers and investors.","This dataset offers details about investment portfolios, including asset holdings, portfolio values, and risk metrics. It covers a diverse range of portfolios, making it a valuable resource for portfolio managers and investors interested in portfolio analysis and risk assessment.","Investments, Finance, Portfolio Analysis","Portfolio ID, Assets, Portfolio Value, Risk Score","4000","1567 KB","Investment Firm X","CC BY-NC-SA 4.0","9.2"
20,"Financial Market Indices","Finance","A dataset containing historical data for financial market indices, including S&P 500, Dow Jones, and NASDAQ. Perfect for market analysis and investment research.","This dataset provides historical data for major financial market indices, including the S&P 500, Dow Jones Industrial Average, and NASDAQ Composite. It includes daily index values and trading volumes. Analysts and investors can use this data for market analysis and investment research.","Finance, Stock Market, Indices","Date, Index, Value, Volume","5500","2154 KB","Market Data Provider Y","CC BY-NC-SA 4.0","9.5"
21,"Student Performance Data","Academic","A dataset containing student performance data, including exam scores, attendance, and demographic information. Valuable for educational research and analysis.","This dataset includes comprehensive student performance data, covering exam scores, attendance records, and demographic information. It is a valuable resource for educational researchers and analysts interested in studying factors affecting student success and academic performance.","Education, Academic, Student Performance","Student ID, Name, Exam Scores, Attendance, Gender, Age","5000","1765 KB","Education Department X","CC BY-NC-SA 4.0","8.9"
22,"Research Papers Dataset","Academic","A dataset containing research papers from various academic fields, including titles, authors, and publication dates. Ideal for text analysis and academic research.","This dataset comprises research papers from diverse academic fields, providing information on paper titles, authors, publication dates, and abstracts. It is a valuable resource for text analysis, bibliometrics, and academic research in various disciplines.","Academic, Research, Text Analysis","Paper ID, Title, Authors, Publication Date, Abstract","8000","2897 KB","Academic Journals Database","CC BY-SA 4.0","9.3"
23,"Student Enrollment Records","Academic","A dataset containing student enrollment records for educational institutions, including program details and enrollment dates. Useful for enrollment analysis and planning.","This dataset contains student enrollment records for educational institutions, including program information and enrollment dates. It is a valuable resource for educational administrators and analysts interested in enrollment trends and program planning.","Education, Academic, Enrollment Records","Student ID, Program, Enrollment Date, Status","6000","1986 KB","Educational Institution Y","CC BY-NC-SA 4.0","8.7"
24,"Online Courses Data","Academic","A dataset containing information about online courses, including course names, instructors, and enrollment numbers. Ideal for online education analysis.","This dataset offers information about online courses, including course names, instructors, and enrollment statistics. It covers a variety of online courses across different subjects. It is a valuable resource for online education platforms and analysts interested in course popularity and instructor effectiveness.","Education, Academic, Online Courses","Course ID, Course Name, Instructor, Enrollment, Subject","4000","1578 KB","Online Learning Platform Z","CC BY-NC-SA 4.0","8.8"
25,"Library Catalog Data","Academic","A dataset containing library catalog information, including book titles, authors, and publication years. Useful for library management and book analysis.","This dataset provides library catalog information, including book titles, authors, publication years, and genre classifications. It is a valuable resource for librarians and book analysts interested in catalog management and book trends.","Library, Academic, Catalog Management","Book ID, Title, Author, Publication Year, Genre","3000","1345 KB","University Library A","CC BY-NC-SA 4.0","9.0"
26,"Course Evaluation Ratings","Academic","A dataset containing student course evaluation ratings, including instructor effectiveness and course satisfaction scores. Valuable for course improvement and assessment.","This dataset contains student course evaluation ratings, including scores for instructor effectiveness, course satisfaction, and overall experience. It is a valuable resource for educational institutions and instructors interested in course improvement and assessment.","Education, Academic, Course Evaluation","Student ID, Course, Instructor, Effectiveness Score, Satisfaction Score","4500","1656 KB","Higher Education Institute B","CC BY-NC-SA 4.0","8.6"
27,"School District Data","Academic","A dataset containing data about school districts, including demographic information and standardized test scores. Ideal for educational policy analysis.","This dataset provides data about school districts, including demographic information, standardized test scores, and funding details. It is a valuable resource for educational policymakers and researchers interested in analyzing educational disparities and policy outcomes.","Education, Academic, School Districts","District ID, Demographics, Test Scores, Funding","3500","1478 KB","Education Department C","CC BY-NC-SA 4.0","9.2"
28,"Online Learning Analytics","Academic","A dataset containing online learning analytics, including student activity logs, quiz scores, and engagement metrics. Useful for online education research.","This dataset includes online learning analytics data, such as student activity logs, quiz scores, and engagement metrics. It is a valuable resource for researchers and analysts studying online learning behavior and its impact on student success.","Education, Academic, Learning Analytics","Student ID, Activity Logs, Quiz Scores, Engagement Metrics","5500","2198 KB","Online Learning Platform D","CC BY-SA 4.0","9.4"
29,"Graduate Admissions Data","Academic","A dataset containing graduate admissions data, including applicant profiles and admission outcomes. Valuable for graduate program analysis.","This dataset contains graduate admissions data, including applicant profiles, GRE scores, GPA, and admission outcomes. It is a valuable resource for graduate schools and educational analysts interested in assessing admission criteria and applicant demographics.","Education, Academic, Graduate Admissions","Applicant ID, GRE Scores, GPA, Program, Admission Status","2800","1345 KB","Graduate School E","CC BY-NC-SA 4.0","8.5"
30,"Educational Resources Dataset","Academic","A dataset containing information about educational resources, including textbooks, online materials, and courseware. Ideal for resource planning and analysis.","This dataset provides information about educational resources, including textbooks, online materials, and courseware availability. It is a valuable resource for educational institutions and resource planners interested in optimizing resource allocation and availability.","Education, Academic, Educational Resources","Resource ID, Title, Type, Availability, Subject","4800","1879 KB","Educational Resource Provider F","CC BY-NC-SA 4.0","8.9"
31,"Medical Records Database","Medical","A comprehensive dataset containing anonymized medical records, including patient information, diagnoses, and treatment history. Valuable for medical research and healthcare analytics.","This extensive dataset comprises anonymized medical records, encompassing patient demographics, diagnoses, treatment history, and clinical notes. It serves as a valuable resource for medical researchers and healthcare analysts, facilitating studies on patient outcomes, disease prevalence, and treatment effectiveness. With a wide range of medical specialties represented, this dataset supports diverse medical research endeavors and healthcare analytics.","Healthcare, Medical Research, Electronic Health Records","Patient ID, Age, Gender, Diagnosis, Treatment, Clinical Notes","10000","4321 KB","Healthcare Institution A","CC BY-NC-SA 4.0","9.5"
32,"Drug Prescription Data","Medical","A dataset containing prescription data for various medications, including drug names, dosages, and patient demographics. Ideal for pharmaceutical research and drug utilization analysis.","This dataset provides prescription data for a variety of medications, offering details such as drug names, dosages, patient demographics, and prescribing physicians. It serves as a valuable resource for pharmaceutical researchers and analysts interested in drug utilization patterns, prescription trends, and medication adherence. Researchers can analyze the impact of drug interventions and identify prescribing patterns across different medical specialties.","Pharmaceuticals, Medical, Drug Utilization","Prescription ID, Drug Name, Dosage, Patient Age, Prescribing Physician","7500","2987 KB","Pharmaceutical Company B","CC BY-NC-SA 4.0","9.3"
33,"Medical Imaging Dataset","Medical","A dataset containing medical images, including X-rays, MRIs, and CT scans, along with associated metadata. Valuable for medical image analysis and diagnostic research.","This dataset includes medical images, such as X-rays, MRIs, and CT scans, along with associated metadata, including patient information and imaging parameters. It is a valuable resource for medical imaging researchers and diagnostic specialists interested in developing image analysis algorithms, improving diagnostic accuracy, and conducting medical imaging studies. The dataset covers a wide range of medical conditions and imaging modalities, making it versatile for various medical applications.","Medical Imaging, Radiology, Diagnostic Research","Image ID, Modality, Patient Information, Imaging Parameters","5000","2456 KB","Medical Imaging Center C","CC BY-SA 4.0","9.4"
34,"Hospital Patient Census","Medical","A dataset containing daily hospital patient census data, including patient counts, diagnoses, and bed utilization. Ideal for healthcare operations analysis and resource planning.","This dataset offers daily hospital patient census data, including patient counts, diagnoses, and bed utilization statistics. It serves as a valuable resource for healthcare administrators and analysts interested in optimizing hospital operations, resource allocation, and bed management. Hospitals can use this data to assess patient flow, predict resource demands, and enhance patient care efficiency.","Healthcare, Hospital Operations, Patient Census","Date, Ward, Patient Count, Diagnoses, Bed Utilization","3000","1789 KB","Hospital Network D","CC BY-NC-SA 4.0","9.1"
35,"Clinical Trial Data","Medical","A dataset containing data from clinical trials, including treatment groups, outcomes, and adverse events. Valuable for pharmaceutical research and clinical trial analysis.","This dataset encompasses data from clinical trials, including information on treatment groups, trial outcomes, patient demographics, and adverse events. It serves as a valuable resource for pharmaceutical researchers and clinical trial analysts interested in assessing treatment efficacy, safety profiles, and patient responses. Researchers can use this data to support evidence-based drug development and clinical trial design.","Pharmaceuticals, Clinical Trials, Drug Development","Trial ID, Treatment Group, Patient Demographics, Outcomes, Adverse Events","4500","1897 KB","Clinical Research Organization E","CC BY-NC-SA 4.0","8.8"
36,"Healthcare Provider Data","Medical","A dataset containing information about healthcare providers, including hospitals, clinics, and physicians. Useful for healthcare network analysis and provider evaluation.","This dataset provides comprehensive information about healthcare providers, including details about hospitals, clinics, physicians, and specialties. It is a valuable resource for healthcare network analysts and policymakers interested in evaluating provider performance, assessing network adequacy, and identifying areas with healthcare service gaps. Researchers can use this data to support healthcare provider quality assessment and network optimization efforts.","Healthcare, Providers, Network Analysis","Provider ID, Name, Type, Specialties, Location","6000","2654 KB","Healthcare Authority F","CC BY-NC-SA 4.0","9.2"
37,"Disease Outbreak Data","Medical","A dataset containing data on disease outbreaks, including outbreak locations, dates, and affected populations. Ideal for epidemiological research and public health analysis.","This dataset includes data on disease outbreaks, featuring information on outbreak locations, dates, affected populations, and disease characteristics. It is a valuable resource for epidemiologists and public health analysts interested in studying disease transmission patterns, outbreak response, and population health trends. Researchers can use this data to inform disease prevention strategies and enhance public health preparedness.","Epidemiology, Public Health, Disease Outbreaks","Outbreak ID, Location, Date, Affected Population, Disease Details","3500","1478 KB","Public Health Agency G","CC BY-NC-SA 4.0","9.0"
38,"Genomic Sequencing Data","Medical","A dataset containing genomic sequencing data for various organisms, including DNA sequences and genetic annotations. Valuable for genomics research and bioinformatics analysis.","This dataset comprises genomic sequencing data for a variety of organisms, offering DNA sequences, genetic annotations, and associated metadata. It serves as a valuable resource for genomics researchers and bioinformaticians interested in genomic analysis, gene discovery, and evolutionary studies. The dataset covers diverse species, supporting research in fields such as genetics, evolution, and molecular biology.","Genomics, DNA Sequencing, Bioinformatics","Genome ID, DNA Sequence, Genetic Annotations, Organism","5500","2198 KB","Genomics Research Institute H","CC BY-SA 4.0","9.5"
39,"Nursing Home Ratings","Medical","A dataset containing ratings and inspection data for nursing homes, including quality scores and compliance records. Useful for healthcare quality assessment and nursing home evaluation.","This dataset offers ratings and inspection data for nursing homes, featuring quality scores, compliance records, and facility information. It is a valuable resource for healthcare quality assessors and policymakers interested in evaluating nursing home performance, ensuring compliance with regulations, and enhancing the quality of care for elderly residents. Researchers can use this data to support nursing home quality improvement efforts and policy analysis.","Healthcare, Nursing Homes, Quality Ratings","Facility ID, Quality Scores, Compliance Records, Location","4000","1765 KB","Healthcare Regulation Authority I","CC BY-NC-SA 4.0","8.9"
40,"Medical Billing Data","Medical","A dataset containing medical billing records, including procedures, diagnoses, and insurance information. Ideal for healthcare billing analysis and revenue management.","This dataset comprises medical billing records, encompassing procedure codes, diagnoses, insurance information, and billing amounts. It serves as a valuable resource for healthcare billing analysts and revenue managers interested in optimizing billing processes, revenue cycle management, and reimbursement analysis. Healthcare organizations can use this data to streamline billing operations and maximize revenue collection.","Healthcare, Medical Billing, Revenue Management","Billing ID, Procedure Codes, Diagnoses, Insurance Details, Billing Amount","4800","1879 KB","Healthcare Billing Company J","CC BY-NC-SA 4.0","8.7"
41,"Real Estate Listings","Realty","A dataset containing real estate listings, including property details, prices, and location information. Ideal for real estate market analysis and property valuation.","This dataset comprises a comprehensive collection of real estate listings, offering detailed property information, listing prices, and geographic coordinates. It is a valuable resource for real estate agents, property appraisers, and market analysts interested in property valuation, market trends, and geographic data analysis. With listings covering various property types, this dataset supports diverse real estate research endeavors.","Real Estate, Property Listings, Market Analysis","Listing ID, Property Type, Price, Bedrooms, Location, Square Footage","8000","3456 KB","Real Estate Agency A","CC BY-NC-SA 4.0","9.3"
42,"Property Assessment Data","Realty","A dataset containing property assessment data, including assessed values, property characteristics, and tax information. Useful for property tax assessment and valuation analysis.","This dataset provides property assessment data, including assessed values, property characteristics, and tax details. It is a valuable resource for property tax assessors, real estate analysts, and policymakers interested in property tax assessment, valuation modeling, and taxation policy analysis. Researchers can use this data to support property assessment and taxation studies.","Property Assessment, Real Estate Valuation, Taxation","Assessment ID, Assessed Value, Property Characteristics, Tax Information","6500","2789 KB","Assessment Authority B","CC BY-NC-SA 4.0","9.1"
43,"Rental Property Data","Realty","A dataset containing information about rental properties, including rental rates, property types, and landlord details. Ideal for rental market analysis and property management.","This dataset offers information about rental properties, including rental rates, property types, landlord contact information, and tenant demographics. It is a valuable resource for property managers, real estate agents, and rental market analysts interested in rental property management, market trends, and tenant profiling. Researchers can use this data to analyze rental market dynamics and property performance.","Rental Properties, Property Management, Tenant Demographics","Property ID, Rental Rate, Property Type, Landlord Info, Tenant Demographics","5000","2156 KB","Rental Property Management C","CC BY-NC-SA 4.0","9.2"
44,"Commercial Real Estate Data","Realty","A dataset containing data on commercial real estate properties, including office spaces, retail units, and industrial properties. Useful for commercial property analysis and market research.","This dataset includes data on commercial real estate properties, covering office spaces, retail units, industrial facilities, and more. It provides property details, lease rates, and tenant information. It is a valuable resource for commercial real estate brokers, investors, and market analysts interested in property investment, leasing trends, and tenant profiles. Researchers can use this data to study commercial property market dynamics and investment opportunities.","Commercial Real Estate, Property Investment, Tenant Profiles","Property ID, Property Type, Lease Rate, Tenant Info, Location","3500","1589 KB","Commercial Real Estate Brokerage D","CC BY-NC-SA 4.0","9.0"
45,"Land Parcel Data","Realty","A dataset containing land parcel data, including parcel sizes, land use types, and ownership details. Ideal for land management and urban planning.","This dataset offers information about land parcels, providing details on parcel sizes, land use classifications, and ownership information. It is a valuable resource for land managers, urban planners, and real estate developers interested in land use planning, property development, and land ownership analysis. Researchers can use this data to support land management and urban planning studies.","Land Parcels, Land Use Planning, Ownership Details","Parcel ID, Size, Land Use Classification, Ownership Information","4800","1965 KB","Land Management Authority E","CC BY-NC-SA 4.0","9.4"
46,"Vacation Rental Listings","Realty","A dataset containing vacation rental listings, including property amenities, rental rates, and guest reviews. Useful for vacation rental market analysis and property booking platforms.","This dataset comprises vacation rental listings, offering information on property amenities, rental rates, guest reviews, and booking availability. It is a valuable resource for vacation rental property owners, online booking platforms, and market analysts interested in vacation rental market dynamics, property performance, and guest satisfaction. Researchers can use this data to analyze vacation rental trends and booking patterns.","Vacation Rentals, Property Booking, Guest Reviews","Listing ID, Property Amenities, Rental Rate, Guest Reviews, Availability","5500","2345 KB","Vacation Rental Platform F","CC BY-SA 4.0","9.3"
47,"Property Development Projects","Realty","A dataset containing information about property development projects, including project status, timelines, and investment details. Ideal for property development analysis and investment planning.","This dataset offers information about property development projects, providing details on project status, development timelines, investment requirements, and developer contacts. It is a valuable resource for property developers, investors, and market analysts interested in property development opportunities, investment planning, and project feasibility analysis. Researchers can use this data to support property development studies and investment decisions.","Property Development, Investment Planning, Project Feasibility","Project ID, Status, Timelines, Investment Details, Developer Contacts","4000","1767 KB","Property Development Company G","CC BY-NC-SA 4.0","9.1"
48,"Historic Real Estate Data","Realty","A dataset containing historic real estate data, including property sales history, prices, and transaction dates. Useful for historical property market analysis and trend research.","This dataset provides historic real estate data, offering insights into property sales history, transaction prices, and dates of real estate transactions. It is a valuable resource for real estate historians, market analysts, and researchers interested in studying historical property market trends, price appreciation, and market cycles. Researchers can use this data to analyze long-term real estate market dynamics and trends.","Historic Real Estate, Property Sales History, Market Trends","Transaction ID, Property Type, Sale Price, Transaction Date","6000","2789 KB","Historical Real Estate Archive H","CC BY-NC-SA 4.0","9.0"
49,"Real Estate Market Indices","Realty","A dataset containing real estate market indices, including price indices, rental indices, and market performance metrics. Ideal for real estate market analysis and investment research.","This dataset comprises real estate market indices, offering price indices, rental indices, and market performance metrics. It is a valuable resource for real estate investors, market analysts, and investment researchers interested in tracking real estate market trends, assessing investment opportunities, and analyzing market performance. Researchers can use this data to conduct market analysis and investment research in the real estate sector.","Real Estate Market, Price Indices, Rental Indices","Index ID, Property Type, Price Index, Rental Index, Market Metrics","4500","1987 KB","Real Estate Market Research Firm I","CC BY-SA 4.0","9.2"
50,"Residential Property Values","Realty","A dataset containing residential property values, including assessed values, market values, and property attributes. Useful for property valuation analysis and real estate investment.","This dataset provides information on residential property values, including assessed values, market values, and property attributes. It is a valuable resource for real estate appraisers, investors, and market analysts interested in property valuation, investment opportunities, and property characteristics. Researchers can use this data to assess residential property values and analyze factors affecting property prices.","Residential Properties, Property Valuation, Investment Analysis","Property ID, Assessed Value, Market Value, Property Attributes","5500","2456 KB","Real Estate Appraisal Company J","CC BY-NC-SA 4.0","9.3"
